"university","group","homepage","missionpage","simplemission","mission","department"
"Birkbeck, University of London",,"http://www.bbk.ac.uk/","http://www.bbk.ac.uk/about-us/mission",,"The principal aims of Birkbeck are to:Provide part-time higher education courses which meet the changing educational, cultural, personal and career needs of adults; in particular those who live or work in the London region.Enable adult students from diverse social and educational backgrounds to participate in our courses.Maintain and develop excellence in research and provide the highest quality research training in all our subject areas.Make available the results of research, and the expertise acquired, through teaching, publication, partnerships with other organisations and the promotion of civic and public debate.",
"Central School of Speech and Drama",,"http://www.cssd.ac.uk/","http://www.cssd.ac.uk/",,"Central's mission is to place students at the centre of its work. Central develops practitioners and researchers who shape the future of theatre and performance across the UK and beyond.",
"Courtauld Institute of Art",,"http://www.courtauld.ac.uk/index.shtml",,,,
"Goldsmiths, University of London",,"http://www.gold.ac.uk/","http://www.gold.ac.uk/strategy/",,"We offer a transformative experience, generating knowledge and stimulating self-discovery through creative, radical and intellectually rigorous thinking and practice.",
"Heythrop College",,"http://www.heythrop.ac.uk/","http://www.heythrop.ac.uk/about-us/official-heythrop/strategy.html",,"The College Mission Statement, as revised in November 2009, is:ÔÇó To serve society through philosophy and theology.ÔÇó To offer its students an education marked by intelligence, scholarship and generosity of spirit.ÔÇó To foster interfaith dialogue.ÔÇó To be a resource for the Christian faith community.ÔÇó To provide leadership in Catholic thought.",
"Institute of Cancer Research",,"http://www.icr.ac.uk/","http://www.icr.ac.uk/about_us/strategic_plan/index.shtml",,"Our mission is to make the discoveries that defeat cancer.",
"Institute of Education",,"http://www.ioe.ac.uk/","http://www.ioe.ac.uk/about/760.html",,"Education is critically important - in enabling individuals to lead fulfilling lives, and in building fair, cohesive and prosperous societies.  The Institute is passionate about furthering education in its broadest sense, for all, and supporting those who make it possible.To this end, our mission is to promote excellence in education and related areas of social research and professional practice through advancing knowledge and understanding.Our work is rooted in a commitment to truth, critical reason and social justice.  It is through the Institute's independent voice and unique breadth and depth of specialism, across the foundation disciplines of education, the social sciences and the humanities, that we are able to make an exceptionally rich and insightful contribution to this vital endeavour.",
"King's College London","russell","http://www.kcl.ac.uk/index.aspx","http://www.kcl.ac.uk/study/learningteaching/kli/aboutus/mission.aspx",,"KingÔÇÖs Learning Institute engages in high quality research, teaching and consultancy in all aspects of learning in academic and professional work, providing professional development opportunities informed by research of an international standard.The Institute is committed to the support of learning organisations that are:international in their approach;able to work across traditional disciplinary andprofessional boundaries;engaged with learning that takes place beyond institutions;expert in learning at all levels, from individual to global.The InstituteÔÇÖs research has two major and complementary themes:academic identity and role;studentsÔÇÖ learning.The Institute offers a wide range of accredited programmes in academic and professional learning, from certificate through to doctoral study.The Institute offers consultancy and development that is:fully responsive to those whose needs it aims to meet;sensitivity to disciplinary and professional distinctiveness;broad in its conception of academic and professional role;individual and organisational in focus;evidence-informed.",
"Institute of Psychiatry (IOP)",,"http://www.kcl.ac.uk/iop/index.aspxhttp://www.kcl.ac.uk/iop/index.aspx",,,,
"London Business School",,"http://www.london.edu/",,,,
"London School of Economics and Political Science (LSE)","russell","http://www.lse.ac.uk/home.aspx","http://www.lse.ac.uk/aboutLSE/lseVisionAndStrategy.aspx",,"LSEÔÇÖs vision for 2011-16 T deliver challenging, stimulating, research led degree programmes in an environment that supports learning and develops independent thinking among our students.T ensure that our research and teaching remain at the forefront of the social sciences, addressing the evolving challenges of society.To e among the most internationally-oriented centres of social science excellence in the world.To extend our engagement with society across our full academic portfolio and in key regions of the world and to enrol the best students from around the world to benefit from, and contribute to, the learning environment at the School.",
"London School of Hygiene and Tropical Medicine",,"http://www.lshtm.ac.uk/#&panel1-1","http://www.lshtm.ac.uk/aboutus/introducing/mission/index.html",,"Our mission is to improve health and health equity in the UK and worldwide; working in partnership to achieve excellence in public and global health research, education and translation of knowledge into policy and practice.",
"Queen Mary, University of London","russell","http://www.qmul.ac.uk/","http://www.qmul.ac.uk/about/mission/",,"The mission of Queen Mary, University of London is:to produce research of the highest quality which places it in the top rank of universities,to teach its students to the very highest academic standards, drawing in creative and innovative ways on its research,to transfer the knowledge it generates to business and the community, regionally, nationally and internationally",
"Royal Academy of Music",,"http://www.ram.ac.uk/","http://www.ram.ac.uk/mission-and-strategic-",,"The mission of the Royal Academy of Music is to preserve and enrich international musical culture through the training and education of the most talented musicians to the highest standards.The Royal Academy of MusicÔÇÖs museum and collections contribute to musicÔÇÖs capacity to inspire, unite, console and stimulate through events, performance, displays and research using its eminent collections of instruments, art, photography, manuscripts and scores.",
"Royal Holloway, University of London, Egham",,"http://www.rhul.ac.uk/home.aspx","http://www.rhul.ac.uk/aboutus/documents/pdf/corporatestrategy/corporateplan.pdf",,"Royal Holloway is committed to providing an environment which nurtures research, learning and teaching of the highest quality and advances knowledge and the development of useful skills in its stakeholder community locally, nationally and throughout the world.",
"Royal Veterinary College",,"http://www.rvc.ac.uk/","http://www.rvc.ac.uk/About/Vision.cfm",,"We will enhance our global reputation as an outstanding independent veterinary college by: Improving the quality of the student experience educationally and socially. Delivering excellent education through the best methods and progressive practice.Undertaking research of international quality in focused areas of global significance for animal and human health Improving animal health and welfare by the provision of outstanding clinical activity across animal species.Engaging with the business community and exploiting our novel ideas. Promoting public health and supporting society through the study of the relationships between people, animals and food.Engaging fully with local, national and international communities and all our stakeholders.",
"St George's, University of London",,"http://www.sgul.ac.uk/","http://www.sgul.ac.uk/about-st-georges/who-are-we/strategic-plan-2010-15",,"Our mission, vision and values help define our core purpose, aspirations and the values that are at the heart of everything we strive to attain.",
"School of Advanced Study",,"http://www.sas.ac.uk/","http://www.sas.ac.uk/about-us/introducing-school/mission",,"The School of Advanced Study, established within the University of London in 1994, is dedicated to supporting researchers and promoting research in the humanities and social sciences. It receives national funding from the Higher Education Funding Council for England (HEFCE) for its mission.The School's fundamental purpose is to maintain and develop the resources of its 10 member institutes, many of which have long and distinguished histories, for the benefit of national and international research communities.The School achieves its national mission by:Providing a research base for an international community of scholars,Inspiring, developing, supporting and creating the conditions for research initiatives and networks,Enhancing the dissemination of the research of others, and related activities, beyond what they or their institutions could achieve alone,Providing specialist research training at Master's, doctoral and postdoctoral levels, locally, nationally and internationally,Adding value to the work of researchers in the humanities and social sciences throughout the UK",
"Institute for the Study of the Americas",,"http://americas.sas.ac.uk/","http://isa.unc.edu/about/mission/",,"The Institute for the Study of the Americas seeks to promote within the University of North Carolina at Chapel Hill and among its multiple constituencies a deeper understanding of Latin America, past and present. Latin America has expanded beyond its historic geographical boundaries. ISA responds to the proposition that a fuller understanding of the Latin American experience must include the conceptual logic of the Americas, conceived as a complex geo-political configuration in which peoples of diverse national, ethnic, and racial origins share a common transnational context and engage one another in continual cultural, political, and socio-economic interaction. The intellectual vitality and programmatic continuity of Latin American studies necessarily depend on its ability to adapt and engage the changing circumstances of the Latin American reality. In recognition of the context of change to which Latin American studies responds, ISA is committed to the support of innovative research strategies, imaginative curricular development, and creative public policy initiatives. Its principal mission is given to support the continued development of Latin American studies as it has developed at Carolina for the past one hundred years. At the same time, ISA seeks to expand the conceptual scope of Latin American studies to include the diasporic dimensions of Latin American peoples, with particular attention to the expanding Latin American presence in the United States. This is a presence of far-reaching implications and suggests the possibility of a reconfiguration of the programmatic reach of Latin American studies, one informed by a heightened awareness of relevant transnational perspectives: one more way to engage the changing realities in Latin America. The presence in the United States of nearly 40 million people of Latin American descent suggests cause-and-effect relationships within a context of an international political economy, foreign policy outcomes, and shifting patterns of migration, many with direct implications on the daily life of communities across North Carolina.The Institute for the Study of the Americas acts to integrate multifaceted approaches to Latin American studies at the University of North Carolina at Chapel Hill. The core of the ISA mission is the continuing commitment to undergraduate education and graduate training in the study of Latin America. The Institute subscribes to the proposition that knowledge of Latin America is best gained and most effectively disseminated by way of multi-disciplinary and inter-disciplinary initiatives, across academic departments, and among the professional schools. To this end, ISA seeks to advance scholarly research, promote curriculum development, and develop innovative institutional initiatives consistent with the tradition of academic excellence at the University of North Carolina at Chapel Hill. In discharge of its mission within a public university, further, ISA is dedicated to the expansion of the outreach facet of Latin American studies into the public provenance, to share its intellectual resources and instructional assets with state and local government agencies, private sector organizations, and the public at large as a way to provide the knowledge and develop the expertise and experience with which to inform enlightened public policy.",
"Institute of Advanced Legal Studies",,"http://ials.sas.ac.uk/","http://ials.sas.ac.uk/about/docs/IALS_Strategic_Plan_2007-2012.pdf",,"The role of the Institute of Advanced Legal Studies is to promote and facilitate, within London, nationally and internationally, research and scholarship at an advanced level across the whole field of law; to conduct research; to disseminate its results; and to provide to all those undertaking research in law a library facility with up to date technology, that is international in both character and standing.",
"Institute of Classical Studies",,"http://www.icls.sas.ac.uk/",,,,
"Institute of Commonwealth Studies",,"http://commonwealth.sas.ac.uk/",,,,
"Institute of English Studies",,"http://www.ies.sas.ac.uk/","http://www.ies.sas.ac.uk/about-us",,"Its mission is to:Promote advanced study and research in English Studies in the wider national and international academic community.Facilitate academic discussion and the exchange of ideas through its comprehensive Events programme.Provide a centre for excellence in English Language, Literature, Palaeography and the History of the Book.Offer opportunities which promote excellence in English Studies, by means of events, fellowships, research training, consultancy, and publications.",
"Institute of Germanic & Romance Studies",,"http://www.igrs.sas.ac.uk/","http://www.igrs.sas.ac.uk/about-us",,"Its mission is to promote and facilitate the study of the cultures of German-speaking and Romance language countries across a range of disciplines in the humanities.",
"Institute of Historical Research",,"http://www.history.ac.uk/","http://music.sas.ac.uk/mission",,,
"Institute of Musical Research",,"http://music.sas.ac.uk/",,,"To foster developments within musical research and to establish relationships with other disciplines across the humanities and social sciences, both in the UK and beyond.To promote collaboration between researchers within the University of London, throughout the UK and internationally, and to address the needs of those engaged in musical research, whether independent scholars, performers or composers, or affiliated members of universities, conservatoires, colleges and other music-related establishments. To play a national and international role in collating and disseminating information relevant to advanced musical studies, events and research in the UK.To provide a focus for collaborative postgraduate training.To provide a base for visiting scholars.To offer a broad range of events, including conferences, study days and research-based workshops and performances, where possible in collaboration with other institutions, and to maintain a programme of lectures and seminars to complement those already offered within the University of London and elsewhere.To build links with the music industry and professions and with the wider public.To work closely with the University of London Research Library Services to develop the existing Senate House collection into a national Music Research Library and to enhance its research facilitation role.",
"Institute of Philosophy",,"http://philosophy.sas.ac.uk/","http://hiw.kuleuven.be/eng/about/history.html",,"The Institute of Philosophy enjoys the status of a faculty, on equal footing with the other faculties within the University of Leuven. As the Department of Philosophy, the Institute is officially responsible for all philosophical research carried out in the university. This responsibility includes the organisation of a variety of degree programmes in philosophy, as well as providing the philosophy courses that are part of the curricula in other faculties.The Institute aims at being a centre for advanced philosophical learning and research. The teaching of philosophy is based on the faculty's personal scholarly research combined with a programme that emphasises the study of the history of philosophy. The students acquire a critical and methodological approach to philosophy, one that allows them to participate actively in ongoing research. Specialised centres have been established within the Institute to support the diverse fields of research being pursued here.The Institute strives to fulfill an interdisciplinary task among the various faculties of the university. The study of philosophy is undertaken in close contact with the arts and sciences in order to promote discourse and interaction between the various disciplines. Further, in establishing a dialogue between philosophy,the arts and the sciences, the Institute addresses itself to problems affecting the foundations of these disciplines.The Institute wishes to contribute in its own way to an understanding of the proper role of the university within the wider community. It sees the primary task of a university with respect to society (especially that of a Catholic university) as a place for critical thought and ethical reflection. The Institute of Philosophy supports this role of the university by helping to situate scholarly activity, historical understanding and artistic expression within the context of human values.",
"Warburg Institute",,"http://warburg.sas.ac.uk/home/",,,,
"School of Oriental and African Studies (SOAS)",,"http://www.soas.ac.uk/","http://www.soas.ac.uk/directorate/missionstatement/",,"The SchoolÔÇÖs purpose is:To advance through teaching and research the knowledge and understanding of Africa, Asia and the Middle East.To contribute to the development of the SchoolÔÇÖs academic disciplines.To provide high quality education so that our students achieve excellence in their chosen subject or subjects and develop their intellectual and other core skills.To promote and lead global public education in our areas of specialist expertise concerning Africa, Asia and the Middle East, both in the United Kingdom and around the world.",
"School of Pharmacy, University of London",,"http://www.ucl.ac.uk/pharmacy",,,,
"University College London (UCL)","russell,leru","http://www.ucl.ac.uk/",,,,
"Eastman Dental Institute",,"http://www.ucl.ac.uk/eastman",,,"The Eastman Library aims to provide information sources and supporting services to meet the needs of its users, the staff and students of the Eastman Dental Institute and the Eastman Dental Hospital.","Library"
"Institute of Archaeology",,"http://www.ucl.ac.uk/archaeology",,,,
"Institute of Child Health",,"http://www.ucl.ac.uk/ich/homepage",,,,
"Institute of Neurology",,"http://www.ucl.ac.uk/ion","http://www.ion.ucl.ac.uk/division_NRNP/division_of_NRNP.html",,"Mission statement: the Division of Neuroradiology and Neurophysics exists to bring together Radiologists and Physicists at the Institute of Neurology, regardless of the Research Department they may be in, to discuss matters of common interest. These include professional matters and scientific issues.",
"School of Slavonic and East European Studies (SSEES)",,"http://www.ssees.ucl.ac.uk/",,,,
"University Marine Biological Station, Millport (shared with the University of Glasgow)",,"http://www.gla.ac.uk/centres/marinestation/","http://www.gla.ac.uk/centres/marinestation/index.php?url=future.php",,"Our Vision:To further develop the Marine Station as the National Centre of Excellence for tertiary-level Marine Biology field teaching.To develop The Marine Station as an internationally Recognised Focal Point of cutting-edge research into topical issues in Marine Biology, Microbiology, Ecology and Environmental Management.To maintain The Marine Station as a site which the general public can visit in order to gain insight into the nature of marine life and awareness of marine environmental issues.",
"London Metropolitan University",,"http://www.londonmet.ac.uk/","https://metranet.londonmet.ac.uk/fms/MRSite/psd/AR/Academic%20Regs/1_1.pdf",,"London Metropolitan University transforms lives through education and research of quality, meets society's needs through our socially responsible agenda, and builds rewarding careers for our students, staff and partners.",
"London South Bank University",,"http://www.lsbu.ac.uk/","http://www.lsbu.ac.uk/ahs/downloads/EduVisionMission.pdf",,"The mission of the Education Department is to develop an ethos and a learning community which promote:ÔÇó A shared understanding of and an engagement with our core values between all those.engaged in education;ÔÇó The values, skills, knowledge and understanding needed to be an effective agent for change;ÔÇó A commitment to continuing personal and professional development;ÔÇó A respect for and commitment to individual potential; Intellectual honesty.","School of business and Economics"
"London South Bank University",,"http://www.lsbu.ac.uk/","http://www.lboro.ac.uk/departments/mec/about/mission-statement/",,"The mission of the Mathematics Education Centre is to consolidate its international reputation as a centre of excellence in the research into and practice of the learning and teaching of mathematics and statistics, and for support of all learners of these subjects.","Mathematics Education Centre"
"Loughborough University",,"http://www.lboro.ac.uk/",,,"To develop elite performers capable of creating and leading high performing businesses and delivering value to society globally, through providing world-class research and education in business and economics, within an environment where the contributions of all members of the School community are valued.In short, our mission is about:Developing Winners, Achieving Excellence, Delivering Value","School of business and Economics"
"University of Manchester","russell","http://www.manchester.ac.uk/","http://documents.manchester.ac.uk/display.aspx?DocID=11953",,"KEY STRATEGIES: Perform research ofthe highest quality, and continue to raise the level and ambition of our activities to world-class and world-leading standards of excellence. To meet this target we will take active stepsto manage the quality of our research by publishing in leading outlets and attracting high levels of citationsfor the great majority of outputs",
"Manchester Business School",,"http://www.mbs.ac.uk/","http://www.mbs.ac.uk/about-mbs/culture/",,"Our mission is to give everyone the opportunity to transform their lives and, in doing so, help them transform the organisations they work for and the wider communities in which they live.",
"Manchester Metropolitan University",,"http://www2.mmu.ac.uk/","http://www.mmu.ac.uk/marketing/mission-and-values/",,"Manchester Metropolitan University is dedicated to the success of all with the ability and motivation to benefit, meeting the needs of the professional and wider communities it serves through the excellence of its teaching, learning, research and scholarship.",
"Middlesex University, London",,"http://www.mdx.ac.uk/","http://www.mdx.ac.uk/aboutus/mission/index.aspx",,"Middlesex is an international university with roots in London.  The University is committed to meeting the needs and ambitions of a culturally and internationally diverse range of students by providing challenging academic programmes underpinned by innovative research, scholarship and professional practice.Our mission is to continue to grow as rapidly and robustly we have throughout our history. The focus for now and for the future is on equipping our students with the skills they need for work and for life; developing our campuses, in particular our flagship campus in Hendon, north London and realising our international ambitions with the development of new overseas campuses that make it possible for students around the globe to study and gain a Middlesex degree wherever they live.",
"Newcastle University","russell","http://www.ncl.ac.uk/","http://www.ncl.ac.uk/about/values/mission.htm",,"Our mission is to: be a world-class research-intensive University deliver teaching and facilitate learning of the highest quality play a leading role in the economic, social and cultural development of the North East of England",
"Newman University",,"http://www.newman.ac.uk/","http://www.newman.ac.uk/jobs/914/mission-statement",,"The Catholic ethos provides the clear underpinning of our mission. Newman University is committed to its motto ÔÇÿex umbris in veritatemÔÇÖ (out of the shadow into truth) and therefore provides high quality, accessible academic and professional education based on respect for others, social justice and equity. As a Catholic University, we seek to make a positive difference to individuals and communities through the contribution of our staff, students and graduates.",
"University of Northampton",,"http://www.northampton.ac.uk/",,,,
"Northumbria University",,"http://www.northumbria.ac.uk/browse/radius5/life/ncle/","http://www.northumbria.ac.uk/sd/central/stud_serv/sws/aboutus/sos/",,"We aim to be able to provide, impartial, high quality services to staff and students at all stages of the student journey, which will directly contribute to Northumbria UniversityÔÇÖs Mission, in particular to:Deliver an outstanding student experience, as our first priority.Ensure outstanding services and facilities for the benefit of students, staff and the wider Community.Underpin our activities through the values of equity, diversity, collegiality and a concern for the ethical behaviour and welfare of individuals and society.Recruit and retain students and staff drawn from all sectors of our community, engaging and developing them to their full potential.",
"Norwich University of the Arts",,"http://www.nua.ac.uk/","http://www.nua.ac.uk/about",,"NUA's mission is to be the best specialist university for arts, design and media study in Europe, producing graduates of the highest quality and inspiring students and staff to achieve excellence in the creative and cultural spheres.",
"University of Nottingham","russell","http://www.nottingham.ac.uk/","http://www.nottingham.ac.uk/about/values/universityvalues.aspx",,"At The University of Nottingham we are committed to providing a truly international education, inspiring our students, producing world-leading research and benefitting the communities around our campuses in the UK, China and Malaysia. Our purpose is to improve life for individuals and societies worldwide. By bold innovation and excellence in all that we do, we make both knowledge and discoveries matter.",
"Nottingham Trent University",,"http://www.ntu.ac.uk/","http://www.ntu.ac.uk/nbs/about/why_nbs/mission_vision/index.html","To deliver education and research that combines academic excellence with impact on business and society.","We strive to deliver outputs that are impactful upon business and the wider communities we serve.In service of this mission, the School has set out six key Strategic Aims:To provide education that promotes the highest academic and business standards.To develop graduates that can lead and succeed in business and do so with a strong sense of social and managerial responsibility.To develop ideas and research that impact on policy and practice. To embed and leverage a culture of internationalisation expressed through a mix of students, faculty, teaching and research.To develop educational and business-based partnerships that add value to our stakeholders.To be a leading provider of executive talent and leadership development.The successful implementation of this strategy should enable NBS to realise its vision:""to be internationally recognised as one of the UKÔÇÖs",
"The Open University",,"http://www.open.ac.uk/","http://www.open.ac.uk/about/main/the-ou-explained/the-ous-mission","The Open University's mission is to be open to people, places, methods and ideas.","The OU was founded to open up higher education to all, regardless of their circumstances or where they live. We have students of all ages and backgrounds: school students wanting experience of university-level study, school leavers who choose to begin their careers while they study for a degree, people wanting to develop or update their skills, or change career entirely, and retired people wanting to explore new interests and keep mentally active.The Open UniversityÔÇÖs Strategic Plan 2012-15 is the means by which we secure The Open UniversityÔÇÖs Mission and thrive as a University within the new Higher Education environment across the four nations of the UK and internationally.We are committed to promoting equal opportunities for all and we monitor ourselves to make sure we live up to our ideals.",
"University of Oxford","russell,leru","http://www.ox.ac.uk/","http://www.campaign.ox.ac.uk/priorities/students/mission_statement.html",,"The University is committed to achieving a multinational student body by attracting the very best students from across the globe to study at all levels, regardless of background or circumstance. This aim promotes diversity and cultural exchange, and seeks to give  students throughout the world the opportunity to benefit from an Oxford education.The UniversityÔÇÖs long-term goal is to be able to provide the necessary financial support (in the form of scholarships and bursaries) to ensure that no student is deterred from studying at Oxford regardless of his or her financial resources, background or country of origin.  We will actively seek the additional resources required to reach this long-term goal.The University is committed to generating significant levels of philanthropic income from donors from all regions of the world to support the very best and brightest students to study at Oxford.These objectives are core priorities of the University, fully supported by the senior leadership of the University and are an integral part of the UniversityÔÇÖs strategic plan.The University is a truly international institution with over a third of the student body from around the world. The reach and footprint of the teaching and research programmes is global; the presence of Oxford is felt in every region of the world.In 2008 the University launched a major global fundraising campaign in support of its academic priorities. This fundraising effort parallels the international reach and impact of OxfordÔÇÖs teaching and research programmes. The Oxford Thinking Campaign engages with prospects, donors, friends and the broad alumni base across the world","Students"
"Oxford Brookes University",,"http://www.brookes.ac.uk/","http://business.brookes.ac.uk/about/mission/",,"Oxford Brookes University will contribute to the intellectual, social and economic development of the communities it serves through teaching, research and enterprise of the highest standards.",
"Peninsula College of Medicine and Dentistry, Plymouth and Exeter",,"http://www.pcmd.ac.uk/",,,,
"University of Plymouth",,"http://www.plymouth.ac.uk/","http://www.plymouth.ac.uk/pages/view.asp?page=1236",,"Our enterprising approach will further develop our reputation as a world-leading University and our enterprise culture will deliver sustained innovation and international impact. We will use the knowledge we create to transform lives. We will achieve this through world-class research, excellence in teaching and learning, and through our partnerships and collaborations. We will maintain our commitment to driving social inclusion, economic prosperity, and environmental quality in our local community and beyond.",
"University of Portsmouth",,"http://www.port.ac.uk/","http://www.port.ac.uk/library/about/policies/mission/",,"The University Library provides integrated library and information services in support of the University's overall aims and objectives, as embodied in the mission statement and strategic plan. Paying due regard to the need for cost effectiveness, the University Library will continue to be responsive to user demand and proactive in the development of services and use of new technology.","Library"
"University of Portsmouth",,"http://www.port.ac.uk/","http://www.port.ac.uk/departments/academic/sportscience/missionstatementandaims/",,"The mission of the University of Portsmouth is to aim for excellence in the creation, interpretation and communication of knowledge. With this in mind, the Department of Sport and Exercise Science has an overriding objective to provide a high quality and satisfying educational experience within a stimulating and supportive environment, whilst conducting nationally and internationally recognised research.","SPORTS AND EXCERCISE DEPT."
"Queen's University Belfast","russell","http://www.qub.ac.uk/","http://www.qub.ac.uk/home/TheUniversity/AboutQueens/CorporatePlan2011-16/OurMission/",,"Our Mission... is to become:a world-class university that links Northern Ireland to the global community through the life-changing experience we offer to our students, the distinctive contribution made to society by our graduates and the high quality and impact of our research",
"St Mary's University College",,"http://www.smuc.ac.uk/","http://www.smuc.ac.uk/about/mission-and-strategic-aims.htm",,"St MaryÔÇÖs prepares its students for flourishing lives, successful careers and social commitment through excellent, research-enriched teaching in a strong community of mutual respect based on our Catholic ethos and identity.",
"Stranmillis University College",,"http://www.stran.ac.uk/","http://www.stran.ac.uk/informationfor/prospectivestudents/studentsupportcentre/careersservice/missionstatement/",,"The Careers, Employability and Skills aims to provide a professional Career Education, Information and Guidance Service (in partnership with academic staff) to support students and recent graduates in their transition from study to employment. It also provides a service to employers and professional organisations and contributes to the economic needs of the wider business community in Northern Ireland and further afield",
"Queen Margaret University, Edinburgh",,"http://www.qmu.ac.uk/","http://www.qmu.ac.uk/the_university/mission_statement.htm",,"Queen Margaret UniversityÔÇÖs mission is to enhance the well-being of individuals and the communities we serve through socially and economically relevant education and research.This mission is enhanced by our strong commitment to economic, social and environmental sustainability.",
"University of Reading",,"http://www.reading.ac.uk/","http://www.reading.ac.uk/library/about-us/policies/lib-mission.aspx",,"The purpose of the Library is to support teaching, learning and research in the University, by developing and promoting access to information resources; and also to contribute to the wider world of scholarship and to the transfer of knowledge, by collaborating and co-operating with other organisations.","Library"
"Henley Business School",,"http://www.henley.ac.uk/","http://www.henley.ac.uk/about/hbs-ourvalues.aspx",,"Recent months and the coming years have, and will unquestionably continue to, present executives and organisations around the globe with difficult decisions and often unprecedented challenges. Our stance is clear: organisations only survive and thrive in any economic cycle due to strong leadership and sound judgement, anchored in a core set of personal values.Today's global situation calls for leaders who can balance managing strategically, ethically and most importantly, responsibly, against the backdrop of potentially limited resources, a downturn in demand and fiscal uncertainty. These leadership qualities are the critical drivers for ensuring survival, and for identifying and capitalising on the opportunities resulting from the current macroeconomic climate, in order to build sustainable competitor advantage, maximise shareholder value and fuel future growth.",
"The Robert Gordon University, Aberdeen",,"http://www.rgu.ac.uk/","http://www.rgu.ac.uk/about/strategy-and-planning",,"RGU aspires to be recognised, in Scotland and beyond, as a distinctive university leading and shaping the debate on the future of higher education and placing students at the centre of the education it offers. It will be known for the impact of its teaching, scholarship and translational research, the employability of its graduates, its influence in the region and nation, its growing global profile, and its strong interdisciplinary focus on a small number of key questions and issues of concern to the local and global community. It will achieve its goals in partnership with academic, voluntary, public and business organisations that share its ideals and aspirations.The university will enter the global university rankings, diversify and secure its income and resources, and enter into close collaborative agreements with key strategic partners. RGU will be a model university of the future and will shape its own culture, practice and organisation accordingly.",
"Roehampton University, London",,"http://www.roehampton.ac.uk/home/",,,,
"Royal Agricultural University, Cirencester",,"http://www.rau.ac.uk/","http://www.rau.ac.uk/the-rau/governance-finance/mission-statement",,"To be the centre of excellence for developing the leaders of tomorrow in sustainable development relating to the rural economy and food chain, and to provide leadership regionally, nationally and internationally through its education, research and knowledge exchange activities",
"Royal College of Art, London",,"http://www.rca.ac.uk/","http://www.rca.ac.uk/Default.aspx?ContentID=160462",,"The Royal College of Art aims to achieve international standards of excellence in the postgraduate and pre- /mid-professional education of artists and designers and related practitioners. It aims to achieve these through the quality of its teaching, research and practice and through its relationship with the institutions, industries and technologies associated with the disciplines of art and design",
"University of St Andrews",,"http://www.st-andrews.ac.uk/","http://www.st-andrews.ac.uk/studentservices/missionstatement/",,"We at Student Services have a focus of helping students achieve what they deserve; the best ÔÇ£Student ExperienceÔÇØ they can get.All students, all people, come across barriers in life where they do not know where to go or how to best proceed. This does not make them stupid. It does not make them failures.  They just need guidance, a pointer, a reflection to offer them a route to follow, or a tool to get over a hurdle and back on track.Our task is to reflect back, to suggest options, to support and open doors; throughout the whole student experience, night and day, in the classroom and out.  The student is our partner and together we will develop; staff, student and institution.What will we develop?  Individuality, Open-Mindedness, Critical Thinking, hand in hand with respect and without prejudice.","Student Services"
"University of St Andrews",,"http://www.st-andrews.ac.uk/","http://www.st-andrews.ac.uk/rbs/missionstatement/",,"We are committed to provide a range of residential accommodation and customer focussed services to meet student demand in support of the University's overall strategic ambitions"".","Residential &Business services"
"University of St Andrews",,"http://www.st-andrews.ac.uk/","https://www.st-andrews.ac.uk/development/missionstatement/",,"The Development Office exists to develop and strengthen the University's position at the forefront of teaching, learning and research by inspiring active participation, investment and loyalty to St Andrews.","Development"
"University of St Mark & St John, Plymouth",,"http://www.marjon.ac.uk/","http://www.marjon.ac.uk/aboutmarjon/institutional%20documents/academicpoliciesstrategiesandschemes/strategic%20plan%202010-15.pdf",,"The mission is underpinned by 7 key aims to:ÔÇó Provide high quality learning programmes and work towards the achievement of university.title through accessible and vocationally orientated learning to meet the needs of individuals and communities.ÔÇó Achieve excellence in learning and teaching through the provision of high quality and intellectually.challenging applied professional and vocational learning opportunities underpinned by advanced scholarship and applied research.ÔÇó Provide a high quality student experience, enabling students to reach their full personal and professional potential and equipping them for employment and further study Deliver sustainable futures through the promotion of good leadership and effective management and solutions, both in terms of cost and performance, in all activities.ÔÇó Be inclusive and accessible, supporting those able to benefit from higher education irrespective of background, beliefs and views and ensuring equality of opportunity.ÔÇó Working creatively in partnership with people, employers and communities, contributing to their social, cultural and economic development through encouraging participation in University College.activities and supporting progression through the different levels of higher education.ÔÇó Build capacity and good practice in research, emphasising applied research and enterprise and knowledge exchange and working with a wide range of partner",
"University of Salford",,"http://www.salford.ac.uk/","http://www.salford.ac.uk/about-us/corporate-information/strategy",,"Salford is an enterprising University which transforms individuals and communities through excellent teaching, research, innovation and engagement.""",
"University of Sheffield","russell","http://www.shef.ac.uk/","http://www.sheffield.ac.uk/ourplan/what-we-stand-for/our-mission",,"Our purpose has long been to improve the world by seeking to understand it better. The University's motto, ""Rerum Cognoscere Causas"", comes from Virgil's Georgics and means 'to know the causes of things'.We now define the University's mission in more contemporary language as 'to discover and understand'. We remain committed today to the goal of changing the world for the better through the power and application of ideas and knowledge.",
"Sheffield Hallam University",,"http://www.shu.ac.uk/","http://www.shu.ac.uk/university/overview/corporate/vision.html",,"Our vision for 2015 is to be an established top 50 university, known for the quality of our teaching and learning, with a particular commitment to education for employment. Our research strength will be concentrated in specific subject areas, but will be world-class. By 2015, we will be known for the quality and range of our partnerships with the professions, business, industry and government. This vision will be achieved by working towards the aims and objectives set out below and within the corporate plan.",
"University of Southampton","russell","http://www.southampton.ac.uk/",,,,
